Ano,P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Ticker,Tipo
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,-0.72,-1.31,-1.79,0.34,0.66,0.74,59.25,49.62,36.2,20.83,23.11,7.82,25.51,0.38,8.991378868978357,13.030695948035882,BMOB3,acoes
2022,30.142962596803425,1.74,16.60521298419211,56.73517328028479,39.36756505884303,4.51,0.61,0.0,1.6,2.11,-1.17,0.67,10.20935542857143,10.919744689144414,0.35,0.65,2.58,0.0,-30.193584756304414,0.0,0.0,0.0,0.0,12.17401091405184,0.38,8.991378868978357,13.030695948035882,JALL3,acoes
2021,7.93,2.32,16.60521298419211,5.03,4.09,4.51,0.82,1.32,2.12,2.8,-1.56,0.62,10.20935542857143,0.94,0.33,0.67,2.58,52.13,-30.193584756304414,51.89,26.77,34.15,11.21,22.4,0.42,8.991378868978357,13.030695948035882,JALL3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,2.18,1.78,2.53,0.24,0.76,2.17,55.93,67.91,47.88,15.7,28.35,6.7,20.43,0.43,8.991378868978357,13.030695948035882,JALL3,acoes
2019,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.7,2.02,3.63,0.27,0.73,2.51,30.67,49.62,27.65,8.59,14.52,3.91,12.91,0.46,8.991378868978357,13.030695948035882,JALL3,acoes
2022,-2.9,0.4,16.60521298419211,-2.71,-3.0,5.78,0.27,-0.8,0.35,0.58,-0.71,-0.05,10.20935542857143,0.34,0.66,0.34,3.74,39.19,-30.193584756304414,-11.68,-12.08,-13.84,-9.16,-10.38,0.76,8.991378868978357,13.030695948035882,MBLY3,acoes
2021,-6.13,0.81,16.60521298419211,-5.65,-6.7,6.02,0.52,-0.8,0.72,1.1,-1.57,-0.13,10.20935542857143,1.04,0.64,0.36,3.58,39.79,-30.193584756304414,-10.76,-11.76,-13.23,-8.49,-9.33,0.72,8.991378868978357,13.030695948035882,MBLY3,acoes
2022,5.66,0.89,5.22,6.91,3.09,2.96,0.29,0.46,0.86,3.34,-0.48,1.09,2.86,3.78,0.33,0.67,1.3,37.6,36.75,27.76,15.18,15.7,5.18,11.27,0.34,8.991378868978357,13.030695948035882,ESPA3,acoes
2021,11.26,2.84,9.53,12.17,8.89,2.93,0.92,0.74,2.84,22.51,-1.49,1.05,2.57,3.28,0.32,0.67,1.12,40.7,40.88,31.99,25.26,25.19,8.14,13.9,0.32,8.991378868978357,13.030695948035882,ESPA3,acoes
2020,30.142962596803425,109960.05198883235,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.6371883750120695,7.512599199733244,119993.89719612765,110018.74129170092,1.07,2.83,5.18,0.23,0.76,1.3,45.72,24.11,13.16,11.9,18.58,4.25,1.32,0.36,8.991378868978357,13.030695948035882,ESPA3,acoes
