P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif
16.03,3.12,13.2,22.95,22.39,1.49,1.02,0.29,1.16,8.3,-3.32,0.01,0.02,0.04,0.29,0.7,1.17,17.54,8.98,5.17,7.22,19.47,5.6,6.41,0.78,-6.51,-6.39,3.02,1,0,1.423841059602649
14.51,1.88,9.57,23.88,21.32,1.6,0.69,0.21,0.77,6.68,-1.97,0.19,0.87,2.17,0.32,0.66,1.15,16.31,9.01,3.61,5.3,12.94,4.19,3.14,0.79,-4.65,-3.3,2.77,1,0,1.6787003610108304
13.62,1.67,6.35,8.97,9.48,1.56,0.6,0.19,0.42,6.87,-1.65,-0.04,-0.16,-0.22,0.35,0.63,1.15,16.9,6.2,4.39,3.06,12.26,4.25,6.49,1.39,4.91,-14.3,4.0,1,0,0.755
8.48,3.0,4.63,5.33,5.71,1.33,0.97,0.47,0.62,7.78,-3.37,-0.19,-0.31,-0.36,0.32,0.66,1.21,21.69,12.55,10.9,7.34,35.4,11.21,31.85,1.53,7.67,14.71,3.89,1,0,0.7120822622107968
7.19,2.49,4.18,4.81,5.47,1.56,0.89,0.54,0.63,5.04,-3.3,-0.35,-0.68,-0.78,0.36,0.63,1.32,23.03,13.17,11.44,8.71,34.57,12.36,33.18,1.42,8.991378868978357,13.030695948035882,3.08,1,0,1.2987012987012987
-4.46,0.95,-5.59,-7.09,-5.16,10.54,0.42,-2.24,4.07,1.82,-0.71,0.36,-1.52,-1.93,0.44,0.55,2.35,-8.95,-100.03,-78.92,-91.26,-21.25,-9.45,-11.32,0.1,-32.32,13.030695948035882,18.299999,1,0,0.20000001092896236
-5.68,1.56,-6.0,-7.01,-6.9,1.18,0.85,-0.32,4.0,3.86,-1.48,0.02,-0.09,-0.11,0.55,0.45,2.08,8.61,-67.71,-57.99,-70.48,-27.42,-15.01,-16.83,0.21,-25.67,13.030695948035882,14.5,1,0,0.6889655172413793
-1.73,0.62,16.60521298419211,-4.88,-2.22,2.33,0.25,-0.84,2.73,2.62,-0.39,0.75,10.20935542857143,-2.67,0.4,0.6,1.35,-19.02,-30.19358475630441,-123.17,-157.48,-35.89,-14.31,-15.95,0.09,-37.41,13.030695948035882,20.6,1,0,0.8883494660194174
-1.31,0.65,16.60521298419211,-2.85,-1.44,3.17,0.29,-1.57,2.22,1.45,-0.55,0.64,10.20935542857143,-1.41,0.45,0.54,1.78,-36.1,-30.19358475630441,-153.76,-169.05,-49.63,-22.45,-27.14,0.13,-22.67,13.030695948035882,21.460634,1,0,0.6756557145515831
-0.83,0.26,16.60521298419211,-2.9,-0.81,8.19,0.12,-2.59,1.1,0.58,-0.26,0.69,10.20935542857143,-2.1,0.45,0.54,1.62,-22.78,-30.19358475630441,-136.36,-131.64,-31.6,-14.35,-18.73,0.11,-26.56,13.030695948035882,24.023415,1,0,0.8574967380782458
2.05,0.29,16.60521298419211,6.55,1.94,9.32,0.13,1.32,0.38,0.57,-0.3,0.69,10.20935542857143,4.61,0.45,0.54,1.67,25.71,-30.19358475630441,19.65,18.68,14.16,6.4,7.22,0.34,-2.12,3.5,34.255608,1,0,0.6264852750533576
4.46,0.47,16.60521298419211,15.31,3.78,8.26,0.14,0.86,0.43,0.54,-0.41,1.42,10.20935542857143,11.53,0.31,0.65,1.7,28.71,-30.19358475630441,11.36,9.63,10.45,3.24,3.7,0.34,16.95,7.04,79.722145,1,0,0.3013392953739516
