P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP.GIRO,P/ATIVO CIRC. LIQ.,Dív. líquida/PL,Dív. líquida/EBITDA,Dív. líquida/EBIT,PL/Ativos,Passivos/Ativos,Liq. corrente,M. Bruta,M. EBITDA,M. EBIT,M. Líquida,ROE,ROA,ROIC,Giro ativos,CAGR Receitas 5 anos,CAGR Lucros 5 anos,Open_0,acoes,bdrs,Open_dif_disc
2.05,0.29,16.60521298419211,6.55,1.94,9.32,0.13,1.32,0.38,0.57,-0.3,0.69,10.20935542857143,4.61,0.45,0.54,1.67,25.71,-30.19358475630441,19.65,18.68,14.16,6.4,7.22,0.34,-2.12,3.5,34.255608,1,0,0.0
4.46,0.47,16.60521298419211,15.31,3.78,8.26,0.14,0.86,0.43,0.54,-0.41,1.42,10.20935542857143,11.53,0.31,0.65,1.7,28.71,-30.19358475630441,11.36,9.63,10.45,3.24,3.7,0.34,16.95,7.04,79.722145,1,0,0.0
7.53,1.18,16.60521298419211,11.17,5.17,7.6,0.36,1.19,0.91,1.0,-1.19,1.37,10.20935542857143,5.99,0.3,0.66,2.03,29.8,-30.19358475630441,17.58,12.07,15.66,4.72,7.37,0.39,28.94,24.05,71.71434,1,0,0.0
19.85,2.6,10.35,12.98,15.31,12.05,1.56,1.58,3.18,4.04,-3.15,-0.4,-1.86,-2.33,0.6,0.4,4.29,54.81,26.07,20.79,16.03,13.09,7.87,13.8,0.49,34.17,25.18,17.545177,1,0,0.0
10.14,2.46,6.4,7.7,7.87,7.59,1.16,1.84,2.08,6.93,-1.78,-0.05,-0.14,-0.17,0.47,0.53,1.92,54.56,31.75,26.39,20.48,24.25,11.42,22.44,0.56,43.72,48.84,7.322377,1,0,2.0
5.99,1.27,3.88,4.88,4.42,6.05,0.52,1.29,0.95,4.25,-0.71,0.13,0.36,0.46,0.41,0.59,1.84,53.2,26.88,21.38,15.79,21.27,8.71,18.13,0.55,48.5,35.16,28.138851,1,0,1.0
17.32,5.91,14.48,16.03,16.15,5.0,2.97,1.71,5.25,22.78,-4.16,-0.05,-0.11,-0.13,0.5,0.5,1.83,62.09,36.02,32.53,30.33,34.13,17.12,29.0,0.56,42.09,48.41,22.347515,1,0,0.0
30.142962596803425,109960.05198883236,16.60521298419211,56.73517328028479,39.36756505884303,46.13140098484117,4.14353964866196,2.637188375012069,7.512599199733244,119993.89719612764,110018.74129170092,-0.43,-1.23,-1.41,0.56,0.44,4.4,60.55,34.38,30.08,25.47,25.77,14.48,23.64,0.57,8.991378868978357,13.030695948035882,17.107737,1,0,0.0
-2.18,0.27,16.60521298419211,-19.36,-5.94,15.81,0.08,-1.95,0.07,0.51,-0.26,0.59,10.20935542857143,-13.04,0.3,0.7,1.3,33.32,-30.19358475630441,-1.11,-3.02,-12.32,-3.72,-5.02,1.23,-2.16,13.030695948035882,128.45192,1,0,0.0
-2.18,0.27,16.60521298419211,-19.36,-5.94,15.81,0.08,-1.95,0.07,0.51,-0.26,0.59,10.20935542857143,-13.04,0.3,0.7,1.3,33.32,-30.19358475630441,-1.11,-3.02,-12.32,-3.72,-5.02,1.23,-2.16,13.030695948035882,128.45192,1,0,0.0
-1.99,0.2,16.60521298419211,-79.11,-20.76,18.42,0.07,-1.87,0.06,0.32,-0.28,0.44,10.20935542857143,-45.67,0.37,0.63,1.47,34.2,-30.19358475630441,-0.27,-2.87,-10.13,-3.73,-1.4,1.3,-1.66,13.030695948035882,172.552582,1,0,0.0
-1.99,0.2,16.60521298419211,-79.11,-20.76,18.42,0.07,-1.87,0.06,0.32,-0.28,0.44,10.20935542857143,-45.67,0.37,0.63,1.47,34.2,-30.19358475630441,-0.27,-2.87,-10.13,-3.73,-1.4,1.3,-1.66,13.030695948035882,172.552582,1,0,0.0
1.5,0.27,16.60521298419211,56.73517328028479,-1.41,18.34,0.08,3.28,0.08,0.36,-0.38,0.93,10.20935542857143,-4.88,0.3,0.7,1.64,31.7,-30.19358475630441,-5.63,5.29,17.87,5.35,-11.25,1.01,2.53,8.96,225.753387,1,0,0.0
1.5,0.27,16.60521298419211,56.73517328028479,-1.41,18.34,0.08,3.28,0.08,0.36,-0.38,0.93,10.20935542857143,-4.88,0.3,0.7,1.64,31.7,-30.19358475630441,-5.63,5.29,17.87,5.35,-11.25,1.01,2.53,8.96,225.753387,1,0,0.0
32.06,0.39,16.60521298419211,18.08,4.37,16.52,0.1,0.2,0.1,0.47,-0.43,1.11,10.20935542857143,12.45,0.25,0.75,1.37,35.39,-30.19358475630441,2.32,0.32,1.22,0.31,1.97,0.97,7.85,-35.48,908.963623,1,0,0.0
