Empresas,Ativos,Tipo,error
Aeris,AERI3F,acoes,1
Intercement,ICBR3,acoes,1
Dotz,DOTZ3F,acoes,1
Gol,GOLL3,acoes,1
VIA S.A,VIIA3F,acoes,1
Armac,ARML3,acoes,0
Multilaser,MLAS3,acoes,0
CBA,CBAV3,acoes,0
3tentos,TTEN3,acoes,0
BR Partners,BRBI11,acoes,0
GetNinjas,NINJ3,acoes,0
Athena Saúde,ATEA3,acoes,1
Banco Modal,MODL4,acoes,0
Banco Modal,MODL3,acoes,0
Vittia Fertilizantes,VITT3,acoes,0
Kora Saúde,KRSA3,acoes,0
Caixa Seguridade,CXSE3,acoes,0
Rio Alto Energias Renováveis,RIOS3,acoes,1
Hospital Care Caledonia,HCAR3,acoes,1
Grupos GPS,GGPS3,acoes,0
Mater Dei,MATD3,acoes,0
Allied Tecnologia,ALLD3,acoes,0
Blau Farmacêutica,BLAU3,acoes,0
Atma Participações,ATMP3,acoes,0
Assaí,ASAI3,acoes,0
Grupo JSL,JSLG3,acoes,0
CSN Mineração,CMIN3,acoes,0
Eletromídia,ELMD3,acoes,0
Orizon,ORVR3,acoes,0
OceanPact,OPCT3,acoes,0
Westwing,WEST3,acoes,0
Cruzeiro Do Sul Educacional,CSED3,acoes,0
Bemobi,BMOB3,acoes,0
Jalles Machado,JALL3,acoes,0
Mobly,MBLY3,acoes,0
Espaçolaser,ESPA3,acoes,0
Vamos,VAMO3,acoes,0
Intelbras SA,INTB3,acoes,0
Hedge Investiments,CJCT11,acoes,1
BM Brascam Lajes Corporativas,BMLC11,acoes,1
Real Estate Capital,RECR11,acoes,1
FII URCA RENCI,URPR11,acoes,1
Devant Recebíveis Imobiliários,DEVA11,acoes,1
Mérito Investimentos,MFAI11,acoes,1
Neogrid,NGRD3,acoes,0
Alphaville S.A.,AVLL3,acoes,0
3R Petroleum,RRRP3,acoes,0
Enjoei,ENJU3,acoes,0
Méliuz,CASH3,acoes,0
Track & Field,TFCO4,acoes,0
Triple Play,CONX3,acoes,1
Grupo Mateus,GMAT3,acoes,0
Sequoia,SEQL3,acoes,0
Compass,PASS3,acoes,1
Boa Vista SCPC,BOAS3,acoes,0
Melnick,MELK3,acoes,0
Hidrovias do Brasil,HBSA3,acoes,0
Simpar,SIMH3F,acoes,1
Cury,CURY3,acoes,0
Plano & Plano,PLPL3,acoes,0
Petz,PETZ3,acoes,0
Pague Menos,PGMN3,acoes,0
Lavvi Incorporadora,LAVV3,acoes,0
Quero-Quero,LJQQ3,acoes,0
d1000,DMVF3,acoes,0
Grupo Soma,SOMA3,acoes,0
Riva 9,RIVA3,acoes,1
Ambipar,AMBP3,acoes,0
Allpark,ALPK3,acoes,0
Mitre Realty,MTRE3,acoes,0
Moura Dubeux,MDNE3,acoes,0
Bardella,BDLL4F ,acoes,1
UPS,UPSS34F ,acoes,1
Lockheed,LMTB34F,acoes,1
Johnson,JNJB34F,acoes,1
Fedex Corp,FDXB34F,acoes,1
Exxon Mobile,EXXO34F ,acoes,1
Caterpillar,CATP34F,acoes,1
Bristolmyers,BMYB34F,acoes,1
Arcelor,ARMT34F,acoes,1
American Express,AXPB34F,acoes,1
Abbott Laboratories,ABTT34F,acoes,1
Santos - Brasil,STBP3F,acoes,1
Randon Part,RAPT3F,acoes,1
Engie,EGIE3F,acoes,1
MMX Mineração,MMXM11F,acoes,1
Lupatech,LUPA3F,acoes,1
Inepar,INEP4F,acoes,1
Ger Paranapanema,GEPA4F,acoes,1
Fras-Le,FRAS3F,acoes,1
Afluente T,AFLT3F,acoes,1
Schulz,SHUL4F,acoes,1
VIA S.A,VIIA3,acoes,0
Cedro,CEDO4F ,acoes,1
Netflix,NFLX34F ,acoes,1
Nike,NIKE34F,acoes,1
McDonald's,MCDC34F,acoes,1
Home Depot,HOME34F ,acoes,1
Ford Motors,FDMO34F,acoes,1
Comcast,CMCS34F,acoes,1
Amazon,AMZO34F,acoes,1
Rodobens,RDNI3F,acoes,1
Saraiva Livr,SLED4F,acoes,1
Rossi Resid,RSID3F,acoes,1
Mundial,MNDL3F,acoes,1
Metal Leve,LEVE3F,acoes,1
Karsten,CTKA4F,acoes,1
Iochpe-Maxion,MYPK3F,acoes,1
Grendene,GRND3F,acoes,1
Locamerica,LCAM3F,acoes,1
C&A,CEAB3,acoes,0
Le Lis Blanc,LLIS3F,acoes,1
Grazziotin,CGRA3F,acoes,1
Estrela,ESTR4F,acoes,1
Direcional,DIRR3F,acoes,1
Coteminas,CTNM3F,acoes,1
Anima,ANIM3F,acoes,1
Even,EVEN3F,acoes,1
Marisa,AMAR3F,acoes,1
Movida,MOVI3F,acoes,1
JHSF,JHSF3F,acoes,1
Helbor,HBOR3F,acoes,1
PDG Realty,PDGR3F,acoes,1
Arezzo,ARZZ3F,acoes,1
Ez Tec,EZTC3F,acoes,1
Alpargatas,ALPA3F,acoes,1
Localiza,RENT3F,acoes,1
MRV Engenharia,MRVE3F,acoes,1
Magazine Luiza,MGLU3F,acoes,1
Lojas Renner,LREN3F,acoes,1
Cogna,COGN3F,acoes,1
Whirlpool,WHRL4,acoes,0
Whirpool,WHRL3,acoes,0
Tecnisa,TCSA3,acoes,0
Starbucks,SBUB34,acoes,1
Smiles,SMLS3,acoes,0
Ser Educacional,SEER3,acoes,0
Saraiva livr,SLED4,acoes,0
Hoteis Othon,HOOT4,acoes,0
Gafisa,GFSA3,acoes,0
YDUQS,YDUQ3,acoes,0
Cyrela Realty,CYRE3,acoes,0
CVC,CVCB3,acoes,0
Grupo SBF,SBFG3F,acoes,1
Cambuci,CAMB3F,acoes,1
Privalia,PRVA3,acoes,1
Walmart,WALM34F ,acoes,1
Starbucks,SBUB34F ,acoes,1
Procter Gamble,PGCO34F,acoes,1
Pepsico Inc,PEPB34F ,acoes,1
Colgate,COLG34F,acoes,1
Coca-Cola,COCA34F,acoes,1
Avon,AVON34F,acoes,1
São Martinho,SMTO3F,acoes,1
MDiasBranco,MDIA3F,acoes,1
CAMIL,CAML3F,acoes,1
Brasilagro,AGRO3F,acoes,1
Minerva,BEEF3F,acoes,1
Vivara,VIVA3,acoes,0
Carrefour,CRFB3F,acoes,1
Pão de Açúcar,PCAR3F,acoes,1
Natura,NTCO3F,acoes,1
Marfrig,MRFG3F,acoes,1
JBS,JBSS3F,acoes,1
Proctor Gamble,PGCO34,acoes,1
BRF,BRFS3,acoes,0
Banco Inter,INBR31,acoes,1
STONE CO,STOC31,acoes,1
Nu Holdings,NUBR33,acoes,1
Iguatemi S.A.,IGTI11,acoes,0
XP Inc,XPBR31,acoes,1
TradersClub,TRAD3,acoes,0
BRB Banco,BSLI4F,acoes,1
Battistella,BTTL3F,acoes,1
Banpara,BPAR3F ,acoes,1
Wells Fargo,WFCO34F ,acoes,1
Visa,VISA34F ,acoes,1
Morgan Stanley,MSBR34F ,acoes,1
Mastercard,MSCD34F,acoes,1
JPMorgan,JPMC34F ,acoes,1
Honeywell,HONB34F,acoes,1
GE,GEOO34F ,acoes,1
Goldman Sachs,GSGI34F ,acoes,1
Citigroup,CTGP34F,acoes,1
Bank America,BOAC34F,acoes,1
3M,MMMC34F ,acoes,1
Sao Carlos,SCAR3F,acoes,1
LPS Brasil,LPSB3F,acoes,1
BMG,BMGB11,acoes,1
Gradiente,IGBR3F,acoes,1
General Shopping,GSHP3F,acoes,1
Porto Seguro,PSSA3F,acoes,1
CSU CardSyst,CARD3F,acoes,1
Brasil Brokers,BBRK3F,acoes,1
BR Properties,BRPR3F,acoes,1
Banrisul,BRSR6F,acoes,1
Santander BR,SANB4F,acoes,1
Multiplan,MULT3F,acoes,1
Itaú Unibanco,ITUB3F,acoes,1
Aliansce Sonae,ALSO3,acoes,0
Banco Mercantil de Investimentos,BMIN3,acoes,0
Mercantil do Brasil Financeira,MERC4,acoes,0
Log,LOGG3,acoes,0
Itaúsa,ITSA4F,acoes,1
IRB Brasil RE,IRBR3,acoes,0
Padtec,PDTC3,acoes,0
SYN Prop Tech,SYNE3,acoes,0
Bradesco,BBDC4F,acoes,1
brMalls,BRML3,acoes,0
Alper,APER3F,acoes,1
BB Seguridade,BBSE3,acoes,0
Banco Pan,BPAN4,acoes,0
Banco do Brasil,BBAS3F,acoes,1
American Express,AXPB34,acoes,1
Terra Santa Agro SA,LAND3,acoes,0
Dexxos Part,DEXP4,acoes,0
Celulose Irani,RANI3F ,acoes,1
Freeport,FCXO34F,acoes,1
Paranapanema,PMAM3F,acoes,1
Ferbasa,FESA4F,acoes,1
Eucatex,EUCA3F,acoes,1
Suzano Papel,SUZB3F,acoes,1
Klabin S/A,KLBN4F,acoes,1
Vale,VALE5,acoes,1
Unipar,UNIP6F,acoes,1
Suzano Holding,NEMO6,acoes,0
MMX Mineração,MMXM3,acoes,0
Gerdau,GOAU4,acoes,0
Dexco,DXCO3,acoes,0
CSN,CSNA3F,acoes,1
Braskem,BRKM6,acoes,0
Bradespar,BRAP4F,acoes,1
Arcelor,ARMT34,acoes,1
COPEL UNT N2,CPLE11F,acoes,1
FII GTIS LG,GTLG11,acoes,1
PPLA,PPLA11,acoes,0
BKR 20YR TRS,BTLT39,acoes,1
BKR 1 3 YRTR,BSHY39,acoes,1
BKR SHORT TR,BSHV39,acoes,1
BKR 3 7 YRTR,BIEI39,acoes,1
BKR 7 10 YRT,BIYT39,acoes,1
BKR US TREAS,BGOV39,acoes,1
INVESTO ALUG,ALUG11,acoes,1
INVESTO WRLD,WRLD11,acoes,1
Caixa Agências,CXAG11,acoes,1
FII ROOFTOPICI,ROOF11,acoes,1
FIAGRO JGP CI,JGPX11,acoes,1
FII PLUR URBCI,PURB11,acoes,1
FII BRIO ME CI,BIME11,acoes,1
FII JS A FINCI,JSAF11,acoes,1
Tellus Desenvolvimento Logístico,TELD11,acoes,1
FII MORE CRICI ER,MORC11,acoes,1
FII HUSI CI ES,HUSI11,acoes,1
FII CYRELA CI ES,CYCR11,acoes,1
EQI RECECI,EQIR11,acoes,1
CARTESIA FIICI,CACR11,acoes,1
FIAGRO RIZA CI,RZAG11,acoes,1
Wilson Sons,PORT3,acoes,0
Getnet,GETT11,acoes,0
BKR US ENER,BIYE39,acoes,1
BKR MS EAFE,BSCZ39,acoes,1
BKR MS USA S,BUSA39,acoes,1
BKR MS RUSS,BERU39,acoes,1
BKR SEMICOND,BSOX39,acoes,1
FT NAT GAS,BFCG39,acoes,1
FT HCARE ALPH DRN,BFXH39,acoes,1
FT TECH ALPH,BFTA39,acoes,1
FT CLOUD CPT,BKYY39,acoes,1
FT NASD100 TC,BQTC39,acoes,1
FT DJ INTERN,BFDN39,acoes,1
FT RISI DIVID,BFDA39,acoes,1
FT INTL EQ OP,BFPI39,acoes,1
FT NASD100 EQ,BQQW39,acoes,1
FT EQ OPPORT,BFPX39,acoes,1
FT NASD CYBER,BCIR39,acoes,1
FT MOR DV LEA,BFDL39,acoes,1
FT NYSE BIOT DRN,BFBI39,acoes,1
BKR SP100 DRN ED,BOEF39,acoes,1
BKR MS WLD,BURT39,acoes,1
BKR GL Clean,BICL39,acoes,1
BKR GL Fin,BIXG39,acoes,1
Coinbase Glob,C2OI34,acoes,1
Store Capital,S2TO34,acoes,1
ISHARES MILA,MILA,acoes,1
ISHARES CSMO,CSMO,acoes,1
IT NOW HYDROCI,YDRO11,acoes,1
BTG S&P 500 CI,SPXB11,acoes,1
BTG SMLL CAPCI,SMAB11,acoes,1
West Pharma,W2ST34,acoes,1
Squarespace,S2QS34,acoes,1
Uipath Inc,P2AT34,acoes,1
Godaddy Inc,G2DD34,acoes,1
Doordash Inc,D2AS34,acoes,1
Camden Prop,C2PT34,acoes,1
Sp500growth,BIVW39,acoes,1
Sp500 Value,BIVE39,acoes,1
Msciglmivolf,BCWV39,acoes,1
Avalara Inc,A2VL34,acoes,1
Amc Entert H,A2MC34,acoes,1
AF Invest,AFHI11,acoes,1
BRL Trust DTVM,HSRE11,acoes,1
Votorantim Asset Management,VSEC11,acoes,1
Agribrasil,GRAO3,acoes,0
INVESTO USTK,USTK11,acoes,1
AgroGalaxy,AGXY3,acoes,0
Tronox,CRPG6,acoes,0
Smart Fit,SMFT3,acoes,0
Boa Safra,SOJA3,acoes,0
Zynga Inc,Z2NG34,acoes,1
Trade Desk,T2TD34,acoes,1
Teladochealt,T2DH34,acoes,1
Sun Commun,S2UI34,acoes,1
Square Inc,S2QU34,acoes,1
Snowflake,S2NW34,acoes,1
Shopify Inc,S2HO34,acoes,1
Caesars Entt,C2ZR34,acoes,1
Unity Softwr,U2ST34,acoes,1
Sea Ltd,S2EA34,acoes,1
Penn Nationl,P2EN34,acoes,1
Medical P Tr,M2PW34,acoes,1
Kingsoft Chl,K2CG34,acoes,1
Draftkings,D2KN34,acoes,1
Cyrusone Inc,C2ON34,acoes,1
Churchill Dw,C2HD34,acoes,1
Beyond Meat,B2YN34,acoes,1
Energisa MT,ENMT4,acoes,0
FII AUTONOMYCI,AIEC11,acoes,1
Vibra Energia S.A,VBBR3,acoes,0
Raízen,RAIZ4,acoes,0
PetroRecôncavo Geral SA,RECV3,acoes,0
Schlumberger,SLBG34F ,acoes,1
Halliburton,HALI34F,acoes,1
ConocoPhillips,COPH34,acoes,1
Chevron,CHVX34F,acoes,1
PETRORIO,PRIO3F,acoes,1
OSX Brasil,OSXB3F,acoes,1
Dommo,DMMO11,acoes,0
Pet Manguinhos,RPMG3F,acoes,1
Ultrapar,UGPA3,acoes,0
Petrobras,PETR4F,acoes,1
Exxon Mobil,EXXO34,acoes,1
Enauta Part,ENAT3,acoes,0
Oncoclínicas,ONCO3,acoes,0
Viveo,VVEO3,acoes,0
Instituto Hermes Pardini SA,PARD3,acoes,0
Biomm,BIOM3F ,acoes,1
Baumer,BALM3F ,acoes,1
Pfizer,PFIZ34F ,acoes,1
Merck,MRCK34F ,acoes,1
Biotoscana,GBIO33F,acoes,1
Dimed,PNVL3F,acoes,1
Alliar,AALR3F,acoes,1
OdontoPrev,ODPV3F,acoes,1
RD,RADL3F,acoes,1
Qualicorp,QUAL3F,acoes,1
Ourofino S/A,OFSA3,acoes,0
Johnson,JNJB34,acoes,1
Hypera Pharma,HYPE3,acoes,0
Fleury,FLRY3,acoes,0
Bristolmyers,BMYB34,acoes,1
Abbott Laboratories,ABTT34,acoes,1
ClearSale,CLSA3,acoes,0
Livetech,LVTC3,acoes,0
G2D Investments,G2DI33,acoes,0
Infracommerce,IFCM3,acoes,0
Alphabet,GOGL35,acoes,1
Locaweb,LWSA3,acoes,0
Totvs,TOTS3F ,acoes,1
Xerox,XRXB34F ,acoes,1
Qualcomm,QCOM34F,acoes,1
Oracle,ORCL34F ,acoes,1
Microsoft,MSFT34F ,acoes,1
IBM,IBMB34F ,acoes,1
Intel,ITLC34F ,acoes,1
HP Company,HPQB34F ,acoes,1
eBay,EBAY34F ,acoes,1
Cisco,CSCO34F,acoes,1
Att Inc,ATTB34F ,acoes,1
Apple,AAPL34F,acoes,1
Linx,LINX3F,acoes,1
Positivo Inf,POSI3F,acoes,1
Ebay,EBAY34,acoes,1
Brisanet,BRIT3,acoes,0
Unifique,FIQE3,acoes,0
Desktop,DESK3,acoes,0
Verizon,VERZ34F,acoes,1
OI,OIBR4F,acoes,1
Tim Participações,TIMS3F,acoes,1
Telefônica Brasil S.A,VIVT3F,acoes,1
Telebras,TELB4F,acoes,1
Att Inc,ATTB34,acoes,1
Auren Energia,AURE3,acoes,0
Omega Energia,MEGA3,acoes,0
Celpe,CEPE6F,acoes,1
CEEE-D,CEED3F ,acoes,1
Ceee-gt,EEEL4F ,acoes,1
Casan,CASN4F ,acoes,1
CEG,CEGR3F,acoes,1
CEB,CEBR3F ,acoes,1
Renova,RNEW11F,acoes,1
Coelce,COCE6F,acoes,1
Celesc,CLSC4F,acoes,1
Alupar Investimento,ALUP4F,acoes,1
Sanepar,SAPR11F,acoes,1
CPFL Renovav,CPRE3F,acoes,1
Copel,CPLE5F,acoes,1
CPFL Energia,CPFE3F,acoes,1
Comgás,CGAS3F,acoes,1
AES Brasil,AESB3F,acoes,1
Neoenergia,NEOE3,acoes,0
ISA CTEEP,TRPL4F,acoes,1
Engie Brasil,EGIE3,acoes,0
Taesa,TAEE4,acoes,0
Sabesp,SBSP3F,acoes,1
Renaova,RNEW11,acoes,0
Ger Paranapanema,GEPA4,acoes,0
CESP,CESP6,acoes,0
Cemig,CMIG4,acoes,0
Afluente T,AFLT3,acoes,0
Aeris,AERI3,acoes,0
Dotz,DOTZ3,acoes,0
Banco Modal,MODL11,acoes,0
Bardella,BDLL3F ,acoes,1
MMX Mineração,MMXM3F,acoes,1
Inepar,INEP3F,acoes,1
Ger Paranapanema,GEPA3F,acoes,1
Cedro,CEDO3F ,acoes,1
Netflix,NFLX34,acoes,1
Nike,NIKE34,acoes,1
McDonald's,MCDC34,acoes,1
Home Depot,HOME34,acoes,1
Ford Motors,FDMO34,acoes,1
Comcast,CMCS34,acoes,1
Rodobens,RDNI3,acoes,0
Saraiva Livr,SLED3F,acoes,1
Rossi Resid,RSID3,acoes,0
Mundial,MNDL3,acoes,0
Metal Leve,LEVE3,acoes,0
Karsten,CTKA3F,acoes,1
Iochpe-Maxion,MYPK3,acoes,0
Grendene,GRND3,acoes,0
Locamerica,LCAM3,acoes,0
Le Lis Blanc,LLIS3,acoes,0
Grazziotin,CGRA4F,acoes,1
Estrela,ESTR3F,acoes,1
Direcional,DIRR3,acoes,0
Coteminas,CTNM4F,acoes,1
Even,EVEN3,acoes,0
Marisa,AMAR3,acoes,0
Movida,MOVI3,acoes,0
JHSF,JHSF3,acoes,0
Helbor,HBOR3,acoes,0
PDG Realty,PDGR3,acoes,0
Ez Tec,EZTC3,acoes,0
Alpargatas,ALPA4F,acoes,1
Localiza,RENT3,acoes,0
MRV Engenharia,MRVE3,acoes,0
Magazine Luiza,MGLU3,acoes,0
Lojas Renner,LREN3,acoes,0
Cogna,COGN3,acoes,0
Gafisa,GFSA3F,acoes,1
Grupo SBF,SBFG3,acoes,0
Walmart,WALM34,acoes,1
Pepsico Inc,PEPB34,acoes,1
Colgate,COLG34,acoes,1
